Filename	Year_Month	Brightness_Median	Saturation_Median	Label_Place	Year	Month	Title
474.jpg	1888.5838	209	150	3_Arles	1888	8	Still Life: Vase with Fifteen Sunflowers
475.jpg	1888.5838	102	116	3_Arles	1888	8	Still Life: Vase with Five Sunflowers
476.jpg	1888.5838	147	82	3_Arles	1888	8	Still Life: Vase with Oleanders
477.jpg	1888.5838	177	144	3_Arles	1888	8	Still Life: Vase with Oleanders and Books
478.jpg	1888.5838	149	135	3_Arles	1888	8	Still Life: Vase with Twelve Sunflowers
479.jpg	1888.5838	50	127	3_Arles	1888	8	Still Life: Vase with Zinnias
480.jpg	1888.5838	178	116	3_Arles	1888	8	Thistles
481.jpg	1888.5838	160	128	3_Arles	1888	8	Three Sunflowers in a Vase
482.jpg	1888.5838	149	110	3_Arles	1888	8	Two Thistles
483.jpg	1888.6672	143	99	3_Arles	1888	9	Cafe Terrace on the Place du Forum Arles at Night The
484.jpg	1888.6672	177	102	3_Arles	1888	9	Entrance to the Public Park in Arles
485.jpg	1888.6672	133	87	3_Arles	1888	9	Green Vineyard The
486.jpg	1888.6672	91	162	3_Arles	1888	9	Lane in the Public Garden at Arles A
487.jpg	1888.6672	160	127	3_Arles	1888	9	Night Cafe in the Place Lamartine in Arles The
488.jpg	1888.6672	179	80	3_Arles	1888	9	Old Mill The
489.jpg	1888.6672	203	129	3_Arles	1888	9	Ploughed Field
490.jpg	1888.6672	107	120	3_Arles	1888	9	Portrait of Eugene Boch
491.jpg	1888.6672	194	80	3_Arles	1888	9	Self-Portrait (Dedicated to Paul Gauguin)
492.jpg	1888.6672	98	64	3_Arles	1888	9	Sower: Outskirts of Arles in the Background The
493.jpg	1888.6672	93	38	3_Arles	1888	9	Starry Night Over the Rhone
494.jpg	1888.6672	170	157	3_Arles	1888	9	Vincent's House in Arles (The Yellow House)
495.jpg	1888.7506	98	127	3_Arles	1888	10	Brothel The
496.jpg	1888.7506	140	155	3_Arles	1888	10	Les Alyscamps
497.jpg	1888.7506	171	109	3_Arles	1888	10	Portrait of the Artist's Mother
