Filename	Year_Month	Brightness_Median	Saturation_Median	Label_Place	Year	Month	Title
082.jpg	1885	45	37	1_Early	1885	1	Head of a Peasant Woman with Dark Cap
083.jpg	1885	74	67	1_Early	1885	1	Head of a Peasant Woman with Dark Cap
084.jpg	1885	95	98	1_Early	1885	1	Head of a Peasant Woman with White Cap
085.jpg	1885	223	51	1_Early	1885	1	Old Cemetery Tower at Nuenen in the Snow The
086.jpg	1885	121	68	1_Early	1885	1	Old Station at Eindhoven The
087.jpg	1885	180	99	1_Early	1885	1	Parsonage Garden at Nuenen in the Snow The
088.jpg	1885	113	96	1_Early	1885	1	Parsonage Garden at Nuenen in the Snow The
089.jpg	1885.0834	87	98	1_Early	1885	2	Head of a Peasant
090.jpg	1885.0834	116	41	1_Early	1885	2	Head of a Peasant Woman with Dark Cap
091.jpg	1885.0834	52	49	1_Early	1885	2	Head of a Peasant Woman with Greenish Lace Cap
092.jpg	1885.0834	71	58	1_Early	1885	2	Head of a Young Peasant Woman with Dark Cap
093.jpg	1885.0834	64	55	1_Early	1885	2	Peasant Making a Basket
094.jpg	1885.0834	61	71	1_Early	1885	2	Peasant Woman Peeling Potatoes
095.jpg	1885.0834	82	65	1_Early	1885	2	Peasant Woman Sweeping the Floor
096.jpg	1885.0834	70	24	1_Early	1885	2	Peasant Woman Taking her Meal
097.jpg	1885.0834	62	70	1_Early	1885	2	Peasant Woman Seated (Half-Figure)
098.jpg	1885.1668	45	107	1_Early	1885	3	Bobbin Winder
099.jpg	1885.1668	77	127	1_Early	1885	3	Head of a Peasant Woman with Dark Cap
100.jpg	1885.1668	55	62	1_Early	1885	3	Head of a Peasant Woman with White Cap
101.jpg	1885.1668	81	52	1_Early	1885	3	Head of a Peasant Woman with White Cap
102.jpg	1885.1668	52	62	1_Early	1885	3	Head of a Peasant Woman with White Cap
103.jpg	1885.1668	48	68	1_Early	1885	3	Head of a Peasant Woman with White Cap
104.jpg	1885.1668	91	131	1_Early	1885	3	Head of a Peasant Woman with White Cap
105.jpg	1885.1668	40	155	1_Early	1885	3	Head of a Woman
106.jpg	1885.1668	41	80	1_Early	1885	3	Head of a Woman
107.jpg	1885.1668	69	34	1_Early	1885	3	Head of a Woman
