filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	year
1905.5_a_mondrian.jpg	1	118	65.902	75	36.5769	39	22.7937	1905
1905.5_b_mondrian.jpg	2	159	79.7137	55	24.8859	28	64.0508	1905
1905.5_c_mondrian.jpg	3	40	55.988	53	28.5155	178	98.2262	1905
1905.5_d_mondrian.jpg	4	69	76.1506	79	44.0942	30	70.2018	1905
1905.5_e_mondrian.jpg	5	82	78.2178	68	39.6847	89	48.068	1905
1905.5_f_mondrian.jpg	6	110	63.8882	41	41.4326	41	58.789	1905
1905.5_g_mondrian.jpg	7	152	62.9992	118	43.2689	30	10.5489	1905
1905.5_h_mondrian.jpg	8	151	77.0856	48	46.45	34	28.5505	1905
1905.5_i_mondrian.jpg	9	67	74.3942	57	39.6226	49	46.4759	1905
1905.5_j_mondrian.jpg	10	68	47.0538	93	39.0613	34	36.1665	1905
1905_a_mondrian.jpg	11	121	71.3703	119	38.2658	31	19.5644	1905
1905_b_mondrian.jpg	12	71	77.8653	57	39.0054	29	77.0026	1905
1905_c_mondrian.jpg	13	41	68.9487	95	39.7876	29	55.1978	1905
1905_d_mondrian.jpg	14	139	79.1644	80	50.3378	32	24.1592	1905
1905_e_mondrian.jpg	15	64	54.4888	45	38.6953	143	61.558	1905
1906.5_a_mondrian.jpg	16	96	61.6352	70	32.2025	34	23.2831	1906
1906.5_b_mondrian.jpg	17	124	67.4078	94	34.4351	26	37.7834	1906
1906.5_c_mondrian.jpg	18	119	55.2189	50	36.846	21	88.6115	1906
1906.5_d_mondrian.jpg	19	70	77.4119	106	45.4034	26	66.4502	1906
1906.5_e_mondrian.jpg	20	185	76.6904	30	26.9423	42	24.308	1906
1906.5_f_mondrian.jpg	21	155	62.2098	184	31.7865	19	11.765	1906
1906.5_g_mondrian.jpg	22	163	68.7553	110	53.8485	25	15.6751	1906
1906.5_h_mondrian.jpg	23	90	63.3483	137	48.0438	28	26.148	1906
1906.5_i_mondrian.jpg	24	58	61.1379	124	47.4614	34	25.4626	1906
1906.5_j_mondrian.jpg	25	86	55.4021	104	31.7138	49	11.5773	1906
1906_a_mondrian.jpg	26	108	56.931	124	30.7894	34	21.6387	1906
1906_b_mondrian.jpg	27	101	68.9791	62	27.6176	33	30.9805	1906
1907.5_a_mondrian.jpg	28	187	63.3952	103	47.948	32	9.5406	1907
1907.5_b_mondrian.jpg	29	140	66.9341	80	47.5207	35	81.5503	1907
1907.5_c_mondrian.jpg	30	31	73.7658	91	24.4133	36	101.6182	1907
1907.5_d_mondrian.jpg	31	160	80.1581	80	39.7326	37	27.3681	1907
1907.5_e_mondrian.jpg	32	158	58.5961	172	38.4971	21	23.2433	1907
1907.5_f_mondrian.jpg	33	106	48.7396	121	40.7622	38	16.9316	1907
1907.5_g_mondrian.jpg	34	100	48.3423	105	40.5184	33	33.9118	1907
1907.5_h_mondrian.jpg	35	119	52.9472	171	45.5773	12	44.42	1907
1907_a_mondrian.jpg	36	170	57.3448	105	45.2731	29	5.1165	1907
1907_b_mondrian.jpg	37	78	57.0674	99	37.7825	18	92.1962	1907
1907_c_mondrian.jpg	38	110	59.35	155	36.3271	31	4.5456	1907
1907_d_mondrian.jpg	39	100	45.0107	112	33.379	25	6.6751	1907
1907_e_mondrian.jpg	40	179	57.3359	161	31.2927	23	21.4984	1907
1907_f_mondrian.jpg	41	99	84.2762	192	49.548	25	32.8226	1907
1907_g_mondrian.jpg	42	189	76.6455	182	23.6316	28	9.3685	1907
1907_h_mondrian.jpg	43	165	70.5551	68	58.2519	49	59.7529	1907
1907_i_mondrian.jpg	44	174	42.2955	80	43.3919	133	46.002	1907
1907_j_mondrian.jpg	45	149	42.2017	189	22.781	22	4.3665	1907
1908.5_a_mondrian.jpg	46	87	46.901	55	36.6226	134	40.5672	1908
1908.5_b_mondrian.jpg	47	118	65.8158	135	68.7866	16	74.3536	1908
1908.5_c_mondrian.jpg	48	111	58.343	100	48.4311	51	36.913	1908
1908.5_d_mondrian.jpg	49	149	63.2834	85	50.1914	38	56.3875	1908
1908.5_e_mondrian.jpg	50	218	47.2585	50	60.3853	176	39.6928	1908
1908_a_mondrian.jpg	51	111	47.7229	170	58.5647	24	50.932	1908
1908_b_mondrian.jpg	52	114	56.7733	110	39.2992	19	55.8319	1908
1908_c_mondrian.jpg	53	94	60.0595	81	71.0431	32	71.9359	1908
1908_d_mondrian.jpg	54	88	47.8064	95	45.9097	18	69.524	1908
1908_e_mondrian.jpg	55	190	70.4093	59	41.3891	145	58.9831	1908
1908_f_mondrian.jpg	56	164	47.3165	70	55.4111	155	52.6265	1908
1908_g_mondrian.jpg	57	192	32.8306	89	75.6061	21	63.5568	1908
1908_h_mondrian.jpg	58	199	33.6797	134	77.342	25	49.6577	1908
1908_i_mondrian.jpg	59	169	69.7348	168	55.896	27	38.0141	1908
1908_j_mondrian.jpg	60	193	51.7855	215	77.851	27	49.5511	1908
1908_k_mondrian.jpg	61	141	68.8171	96	51.0531	158	65.0796	1908
1908_l_mondrian.jpg	62	187	37.8735	166	70.914	28	70.577	1908
1908_m_mondrian.jpg	63	81	57.1042	88	45.0344	110	52.0541	1908
1909.5_a_mondrian.jpg	64	186	57.5587	149	49.8755	155	38.9605	1909
1909.5_b_mondrian.jpg	65	215	18.4519	80	55.198	146	38.6288	1909
1909.5_c_mondrian.jpg	66	151	44.131	143	63.0217	160	73.743	1909
1909.5_d_mondrian.jpg	67	119	60.4401	131	56.4706	23	44.9215	1909
1909.5_e_mondrian.jpg	68	206	35.2138	137	47.3851	155	66.3329	1909
1909.5_f_mondrian.jpg	69	153	40.8869	117	49.8668	147	68.0048	1909
1909.5_g_mondrian.jpg	70	123	49.1757	107	70.8048	46	60.2241	1909
1909.5_h_mondrian.jpg	71	172	48.9271	150	60.9892	136	65.7233	1909
1909.5_i_mondrian.jpg	72	156	46.6307	180	72.4876	15	80.1303	1909
1909_a_mondrian.jpg	73	184	60.3133	147	41.6013	159	41.2184	1909
1909_b_mondrian.jpg	74	136	62.6672	91	60.1069	35	67.4283	1909
1909_c_mondrian.jpg	75	206	18.9142	71	46.3374	144	56.7731	1909
1909_d_mondrian.jpg	76	222	15.4643	51	42.3707	166	73.6638	1909
1909_e_mondrian.jpg	77	210	36.9022	93	35.621	160	62.6353	1909
1909_f_mondrian.jpg	78	226	29.3146	47	54.1927	161	65.3684	1909
1909_g_mondrian.jpg	79	210	32.4523	57	54.1497	34	76.6209	1909
1909_h_mondrian.jpg	80	187	31.2275	53	48.9982	164	86.3318	1909
1909_i_mondrian.jpg	81	183	35.2407	70	82.4558	46	51.6647	1909
1909_j_mondrian.jpg	82	211	20.0143	87	48.2317	167	82.8963	1909
1909_k_mondrian.jpg	83	225	18.9226	69	51.5606	144	71.9149	1909
1909_l_mondrian.jpg	84	209	31.7724	108	67.8124	31	62.86	1909
1909_m_mondrian.jpg	85	229	18.8293	55	46.7008	160	69.3807	1909
1909_n_mondrian.jpg	86	231	20.5744	14	17.9929	160	65.2891	1909
1909_o_mondrian.jpg	87	236	10.526	47	73.5636	191	106.9035	1909
1909_p_mondrian.jpg	88	175	49.6742	75	67.1593	105	81.1314	1909
1909_q_mondrian.jpg	89	152	48.5268	91	38.4999	166	49.7921	1909
1909_r_mondrian.jpg	90	188	46.0163	70	33.0305	163	70.3071	1909
1909_s_mondrian.jpg	91	216	23.6186	78	40.9593	159	74.7774	1909
1909_t_mondrian.jpg	92	178	53.5996	49	68.0114	37	83.3944	1909
1909_u_mondrian.jpg	93	209	43.048	37	41.5674	147	77.9552	1909
1909_v_mondrian.jpg	94	226	28.0629	74	71.0957	37	68.6011	1909
1910_a_mondrian.jpg	95	97	56.5996	173	46.7689	162	70.4742	1910
1910_b_mondrian.jpg	96	223	15.5244	118	48.3532	148	30.5042	1910
1910_c_mondrian.jpg	97	228	32.1168	76	67.3478	159	65.8539	1910
1911_a_mondrian.jpg	98	205	34.2844	123	34.0219	161	43.7631	1911
1911_b_mondrian.jpg	99	211	40.6143	177	24.3866	155	73.9944	1911
1911_c_mondrian.jpg	100	209	30.2094	107	51.4834	156	5.2777	1911
1911_d_mondrian.jpg	101	152	60.2856	62	53.9442	27	63.8504	1911
1911_e_mondrian.jpg	102	173	64.968	23	28.6111	173	34.8672	1911
1912_a_mondrian.jpg	103	124	53.4651	35	39.1054	27	75.6983	1912
1912_b_mondrian.jpg	104	103	65.2352	44	37.6096	37	61.5236	1912
1912_c_mondrian.jpg	105	130	52.1404	38	28.7394	197	100.7914	1912
1912_d_mondrian.jpg	106	200	59.7565	21	26.3152	161	46.574	1912
1912_e_mondrian.jpg	107	153	46.9033	55	51.0271	40	36.6801	1912
