Filepath	Year_Month	Brightness_Median	Saturation_Median	Label_Place	Year	Month	Title	Filename	Path_dir
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/221.jpg	1886.417	37	86	2_Paris	1886	6	Vase with Myosotis and Peonies	221.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/222.jpg	1886.5004	152	105	2_Paris	1886	7	Bois de Boulogne with People Walking The	222.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/223.jpg	1886.5004	77	116	2_Paris	1886	7	Cineraria in a Flowerpot	223.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/224.jpg	1886.5004	62	137	2_Paris	1886	7	Coleus Plant in a Flowerpot	224.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/225.jpg	1886.5004	114	123	2_Paris	1886	7	Fourteenth of July Celebration in Paris The	225.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/226.jpg	1886.5004	113	121	2_Paris	1886	7	Geranium in a Flowerpot	226.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/227.jpg	1886.5004	56	65	2_Paris	1886	7	Ginger Jar Filled with Chrysanthemums	227.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/228.jpg	1886.5004	17	121	2_Paris	1886	7	Glass with Roses	228.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/229.jpg	1886.5004	200	40	2_Paris	1886	7	Le Moulin de Blute-Fin	229.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/230.jpg	1886.5004	202	38	2_Paris	1886	7	Le Moulin de la Galette	230.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/231.jpg	1886.5004	46	81	2_Paris	1886	7	Still Life with Bloaters	231.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/232.jpg	1886.5004	49	81	2_Paris	1886	7	Still Life with Bloaters	232.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/233.jpg	1886.5004	60	66	2_Paris	1886	7	Vase with Asters Salvia and Other Flowers	233.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/234.jpg	1886.5004	85	107	2_Paris	1886	7	Vase with Carnations	234.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/235.jpg	1886.5004	60	85	2_Paris	1886	7	Vase with Carnations	235.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/236.jpg	1886.5004	80	107	2_Paris	1886	7	Vase with Carnations	236.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/237.jpg	1886.5004	156	89	2_Paris	1886	7	Vase with Carnations and Other Flowers	237.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/238.jpg	1886.5004	40	91	2_Paris	1886	7	Vase with Carnations and Zinnias	238.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/239.jpg	1886.5004	92	211	2_Paris	1886	7	Vase with Daisies	239.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/240.jpg	1886.5004	82	122	2_Paris	1886	7	Vase with Gladioli and Carnations	240.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/241.jpg	1886.5004	113	246	2_Paris	1886	7	Vase with Gladioli and Carnations	241.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/242.jpg	1886.5004	65	71	2_Paris	1886	7	Vase with Gladioli and Lilac	242.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/243.jpg	1886.5004	66	82	2_Paris	1886	7	Vase with Peonies	243.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/244.jpg	1886.5004	107	241	2_Paris	1886	7	Vase with Red Gladioli	244.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/245.jpg	1886.5004	146	128	2_Paris	1886	7	Vase with Red Gladioli	245.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/246.jpg	1886.5004	42	29	2_Paris	1886	7	Vase with Red Gladioli	246.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/247.jpg	1886.5004	101	97	2_Paris	1886	7	Vase with Red Poppies	247.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/248.jpg	1886.5004	79	128	2_Paris	1886	7	Vase with Viscaria	248.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
